,location,date,avg_temp,min_temp,max_temp,rainfall,max_wind_speed,avg_wind
82,동두천,2014-03-24,9.6,0.9,16.0,0.0,6.6,2.3
83,동두천,2014-03-25,13.9,10.5,19.3,0.0,4.3,2.0
84,동두천,2014-03-26,15.7,9.8,23.9,0.0,6.2,1.8
85,동두천,2014-03-27,13.0,5.7,22.7,0.0,5.5,1.7
86,동두천,2014-03-28,15.8,9.0,23.6,0.0,4.7,1.9
87,동두천,2014-03-29,13.7,10.3,18.8,2.0,4.3,1.3
88,동두천,2014-03-30,14.0,8.6,21.6,0.0,4.8,2.1
89,동두천,2014-03-31,14.0,5.2,22.2,0.0,5.9,1.7
90,동두천,2014-04-01,14.2,5.6,24.2,0.0,6.0,1.7
91,동두천,2014-04-02,14.5,6.9,23.6,0.0,5.7,2.0
92,동두천,2014-04-03,9.0,4.3,13.6,1.4,6.3,2.1
93,동두천,2014-04-04,6.0,0.4,13.2,0.0,6.1,2.5
94,동두천,2014-04-05,4.0,-0.7,11.6,1.4,6.9,1.6
95,동두천,2014-04-06,6.6,-0.8,14.6,0.0,7.5,2.9
96,동두천,2014-04-07,9.6,2.3,19.0,0.0,5.5,2.2
97,동두천,2014-04-08,11.2,2.5,21.8,0.0,4.8,1.6
98,동두천,2014-04-09,9.6,3.2,18.4,0.0,4.0,1.8
99,동두천,2014-04-10,13.0,6.9,22.0,0.0,4.7,1.6
100,동두천,2014-04-11,12.9,7.3,21.4,0.0,5.6,1.9
101,동두천,2014-04-12,13.4,9.3,19.1,0.0,4.8,1.4
102,동두천,2014-04-13,16.6,10.6,26.2,0.0,6.0,1.6
103,동두천,2014-04-14,15.9,8.9,24.0,0.0,6.4,2.1
104,동두천,2014-04-15,12.7,7.3,19.0,0.0,4.6,1.7
105,동두천,2014-04-16,14.0,9.7,21.5,0.0,4.2,1.4
106,동두천,2014-04-17,14.1,8.5,23.5,2.3,3.3,1.3
107,동두천,2014-04-18,15.8,10.0,25.0,0.0,5.4,2.0
108,동두천,2014-04-19,13.2,9.2,18.8,0.0,5.2,2.2
109,동두천,2014-04-20,14.1,8.8,22.1,0.0,5.7,2.1
110,동두천,2014-04-21,14.4,7.6,23.3,0.0,6.5,1.9
111,동두천,2014-04-22,15.3,6.8,25.4,0.0,6.7,2.2
112,동두천,2014-04-23,16.3,7.0,25.5,0.0,4.9,1.7
113,동두천,2014-04-24,16.8,9.0,26.5,0.0,5.6,1.4
114,동두천,2014-04-25,17.1,8.4,26.9,0.0,6.2,1.7
115,동두천,2014-04-26,17.0,9.6,27.3,0.0,6.6,1.6
116,동두천,2014-04-27,14.2,11.4,19.4,9.8,3.4,1.0
117,동두천,2014-04-28,13.7,11.5,16.3,7.1,3.6,1.5
118,동두천,2014-04-29,14.5,11.5,19.1,0.1,6.1,2.4
119,동두천,2014-04-30,15.6,11.2,23.1,0.0,3.9,2.1
120,동두천,2014-05-01,15.5,8.5,24.1,0.0,5.2,1.8
121,동두천,2014-05-02,14.8,7.8,25.0,1.4,9.1,2.7
122,동두천,2014-05-03,12.5,6.3,20.4,0.0,6.6,3.0
123,동두천,2014-05-04,10.9,5.6,21.0,0.4,8.6,2.5
124,동두천,2014-05-05,10.0,5.1,16.2,0.1,9.4,3.2
125,동두천,2014-05-06,11.4,4.2,19.6,0.0,6.4,2.2
126,동두천,2014-05-07,13.7,5.0,21.7,1.5,6.5,2.9
