damagearea,avg_temp,min_temp,max_temp,rainfall,max_wind_speed,avg_wind
0.00019727756954034323,-10.1,-18.2,-3.4,0.8,6.0,1.6
0.0003945551390806864,,,,,,
0.0003945551390806864,,,,,,
0.0003945551390806864,,,,,,
0.001775498125863089,,,,,,
0.0003945551390806864,,,,,,
0.00019727756954034323,3.9,-3.5,14.4,0.0,2.8,0.8
0.00019727756954034323,13.9,4.9,23.3,0.0,6.1,1.9
0.039258236338528305,14.9,4.7,24.3,0.0,4.3,1.6
0.002170053264943775,14.9,5.6,24.1,0.0,4.9,1.7
0.0015782205563227457,14.9,5.6,24.1,0.0,4.9,1.7
0.0003945551390806864,13.0,7.9,20.2,0.0,2.8,1.2
0.0,14.1,9.5,19.2,0.0,4.4,2.1
0.000986387847701716,13.6,4.4,21.2,0.0,4.5,1.6
0.000986387847701716,15.0,9.9,20.4,0.1,4.8,1.9
0.005721049516669954,16.5,13.4,22.1,0.1,3.1,1.5
0.00019727756954034323,18.1,8.5,29.2,0.0,3.8,1.3
0.00019727756954034323,18.7,9.1,28.1,0.0,3.1,1.1
0.0,20.0,12.6,25.6,0.0,3.5,1.6
0.0,16.7,7.4,27.6,0.0,8.2,2.2
0.009666600907476819,14.7,4.1,25.2,0.0,4.3,1.4
0.0,18.4,8.4,28.1,0.0,3.6,1.4
0.002761885973564805,15.6,9.5,20.3,0.0,5.0,3.1
0.0015782205563227457,14.1,4.5,23.4,0.0,7.1,2.3
0.019530479384493978,14.1,4.5,23.4,0.0,7.1,2.3
0.02939435786151114,13.8,3.8,23.6,0.0,4.8,1.8
0.0,13.9,4.1,23.0,0.0,5.7,1.9
0.0015782205563227457,14.7,7.4,22.7,0.0,5.2,2.1
0.0,14.4,8.1,21.4,0.0,4.3,2.2
0.0,15.1,5.2,23.7,0.0,5.0,1.7
0.0,15.3,9.4,23.0,0.0,4.6,2.0
0.000986387847701716,16.2,7.7,26.6,0.0,4.8,1.5
0.0015782205563227457,17.7,10.0,27.0,0.0,4.2,1.3
0.000986387847701716,17.7,10.0,27.0,0.0,4.2,1.3
0.039258236338528305,19.7,9.9,29.3,0.0,4.5,1.2
0.00019727756954034323,20.2,11.4,29.4,0.0,3.4,1.4
0.0037482738212665213,20.2,11.4,29.4,0.0,3.4,1.4
0.0,19.9,11.6,28.1,0.0,3.3,1.1
0.0013809429867824026,18.1,8.2,27.7,0.0,4.0,1.2
0.00019727756954034323,18.0,13.0,24.8,0.0,4.9,1.4
0.0,18.0,13.0,24.8,0.0,4.9,1.4
0.002761885973564805,19.6,12.3,27.4,0.0,3.1,1.3
0.0,20.2,12.3,28.3,0.0,2.9,1.2
0.0,22.1,15.2,28.2,0.0,2.3,1.0
0.0005918327086210297,21.4,18.1,25.0,0.0,7.2,3.7
0.001775498125863089,21.4,18.1,25.0,0.0,7.2,3.7
0.0,21.3,17.8,24.0,0.0,5.1,2.4
0.009666600907476819,18.9,9.0,28.0,0.0,5.5,2.1
0.0007891102781613729,21.1,11.1,31.3,0.0,2.7,1.1
0.0,23.5,14.5,31.7,0.0,4.4,1.3
0.00019727756954034323,19.0,9.6,28.1,0.0,4.8,1.7
0.001775498125863089,22.2,13.6,29.6,0.0,4.2,1.4
0.0003945551390806864,23.4,15.6,31.3,0.0,3.6,1.8
0.0,21.8,16.0,29.3,0.0,4.4,2.1
0.0015782205563227457,25.0,17.2,32.7,0.0,4.7,1.5
0.001775498125863089,25.7,17.4,34.2,0.0,4.1,1.5
0.0003945551390806864,25.2,21.3,30.0,0.0,4.7,2.9
0.0003945551390806864,23.4,19.7,28.2,0.0,4.8,1.7
0.0037482738212665213,23.4,16.5,30.2,0.0,4.0,1.6
0.0003945551390806864,-6.3,-12.6,-0.4,0.0,2.3,0.7
0.0011836654172420595,-6.3,-12.6,-0.4,0.0,2.3,0.7
0.0003945551390806864,-7.3,-13.6,-1.6,0.0,4.4,1.6
0.0,-7.3,-13.6,-1.6,0.0,4.4,1.6
0.0003945551390806864,-7.7,-12.7,-1.5,0.0,3.9,1.1
0.0007891102781613729,-6.7,-11.5,-2.3,0.0,5.0,1.8
0.0003945551390806864,-6.3,-12.6,-0.4,0.0,2.3,0.7
0.0011836654172420595,-6.3,-12.6,-0.4,0.0,2.3,0.7
0.0003945551390806864,-7.3,-13.6,-1.6,0.0,4.4,1.6
0.0,-7.3,-13.6,-1.6,0.0,4.4,1.6
0.0003945551390806864,-7.7,-12.7,-1.5,0.0,3.9,1.1
0.0007891102781613729,-6.7,-11.5,-2.3,0.0,5.0,1.8
0.0,-7.4,-14.6,-2.3,5.3,3.1,1.1
0.00019727756954034323,-10.1,-18.2,-3.4,0.8,6.0,1.6
0.0003945551390806864,,,,,,
0.0003945551390806864,,,,,,
0.0003945551390806864,,,,,,
0.001775498125863089,,,,,,
0.0003945551390806864,,,,,,
0.00019727756954034323,3.9,-3.5,14.4,0.0,2.8,0.8
0.00019727756954034323,5.0,-2.8,14.6,0.0,1.9,0.6
0.000986387847701716,4.4,-2.3,14.6,0.0,2.5,0.6
0.00019727756954034323,2.4,-4.5,12.2,0.0,2.4,0.7
0.0003945551390806864,-6.3,-12.6,-0.4,0.0,2.3,0.7
0.0011836654172420595,-6.3,-12.6,-0.4,0.0,2.3,0.7
0.0003945551390806864,-7.3,-13.6,-1.6,0.0,4.4,1.6
0.0,-7.3,-13.6,-1.6,0.0,4.4,1.6
0.0003945551390806864,-7.7,-12.7,-1.5,0.0,3.9,1.1
0.0007891102781613729,-6.7,-11.5,-2.3,0.0,5.0,1.8
0.0,-7.4,-14.6,-2.3,5.3,3.1,1.1
0.00019727756954034323,-10.1,-18.2,-3.4,0.8,6.0,1.6
0.0003945551390806864,,,,,,
0.0003945551390806864,,,,,,
0.0003945551390806864,,,,,,
0.001775498125863089,,,,,,
0.0003945551390806864,,,,,,
0.0007891102781613729,-6.2,-13.6,3.1,0.0,2.1,0.6
0.0,-2.6,-8.5,4.7,0.0,3.7,1.0
0.0037482738212665213,-4.7,-11.5,3.0,0.0,3.0,0.8
0.015584927993687115,-4.6,-10.5,1.5,0.0,6.7,2.4
0.00019727756954034323,-8.2,-15.1,-1.7,0.0,2.6,0.7
0.001775498125863089,-6.5,-14.6,0.2,0.0,2.5,0.8
0.0037482738212665213,9.3,4.5,17.9,0.0,3.1,0.7
0.0005918327086210297,-1.2,-6.0,2.7,0.0,4.7,2.0
0.006312882225290984,-1.5,-6.9,1.9,0.8,2.1,0.5
0.0013809429867824026,-1.2,-6.9,6.0,0.0,2.6,0.8
0.09844150720063127,2.1,-2.5,6.6,0.0,3.4,1.0
0.0003945551390806864,-7.6,-13.4,-1.0,0.0,2.9,0.8
0.00019727756954034323,-5.6,-10.8,-0.4,0.0,3.3,1.4
0.0,-1.7,-6.3,2.9,0.0,2.6,1.1
0.0037482738212665213,-3.0,-7.0,1.5,0.4,2.9,0.7
0.00019727756954034323,-1.2,-6.8,5.2,0.0,2.9,0.9
0.0033537186821858346,-3.7,-8.8,4.0,0.0,1.2,0.4
0.0029591635431051484,3.4,-2.8,8.4,0.0,3.3,1.8
