No,Column1,location,stdt,eddt,damagearea,경도,위도,상태
71,70,경기여주,2021-03-20,2021-03-20,0.2,127.644285,37.28762711,인근좌표
72,71,경기안산,2021-03-21,2021-03-21,0.04,126.8574791,37.32275536,인근좌표
73,72,경기포천,2021-03-23,2021-03-23,0.05,127.237579,37.96766787,인근좌표
74,73,경기광주,2021-03-25,2021-03-25,0.1,127.2917767,37.4004581,인근좌표
75,74,경기용인,2021-03-26,2021-03-26,0.01,127.2400364,37.22209372,인근좌표
76,75,경기용인,2021-03-26,2021-03-26,0.03,127.2400364,37.22209372,인근좌표
77,76,경기남양주,2021-01-01,2021-01-01,0.03,127.2580035,37.64296989,인근좌표
78,77,경기광주,2021-01-01,2021-01-01,0.07,127.2917767,37.4004581,인근좌표
79,78,경기파주,2021-01-02,2021-01-02,0.03,126.8077119,37.84944357,인근좌표
80,79,경기고양,2021-01-02,2021-01-02,0.01,126.8993676,37.66019018,인근좌표
81,80,경기포천,2021-01-03,2021-01-03,0.03,127.237579,37.96766787,인근좌표
82,81,경기의정부,2021-01-05,2021-01-05,0.05,127.0666545,37.73305139,인근좌표
83,82,경기양평,2021-01-06,2021-01-06,0.01,127.5810959,37.51899594,인근좌표
84,83,경기김포,2021-01-06,2021-01-06,0.02,126.6015557,37.68465337,인근좌표
85,84,경기파주,2021-11-04,2021-11-04,0.03,126.8077119,37.84944357,인근좌표
86,85,경기화성,2021-11-05,2021-11-05,0.03,126.9162557,37.15266119,인근좌표
87,86,경기안양,2021-11-06,2021-11-06,0.03,126.9027706,37.40454384,인근좌표
88,87,경기평택,2021-11-07,2021-11-07,0.1,127.0037131,37.02303199,인근좌표
89,88,경기고양,2021-12-04,2021-12-04,0.03,126.8993676,37.66019018,인근좌표
90,89,경기포천,2021-02-12,2021-02-12,0.02,127.237579,37.96766787,인근좌표
91,90,경기연천,2019-04-17,2019-04-17,0.02,127.0268198,38.08507414,인근좌표
92,91,경기안성,2019-04-17,2019-04-17,2,127.3059003,37.02476089,인근좌표
93,92,경기양평,2019-04-17,2019-04-17,0.12,127.5810959,37.51899594,인근좌표
94,93,경기양평,2019-04-17,2019-04-17,0.09,127.5810959,37.51899594,인근좌표
95,94,경기연천,2019-04-19,2019-04-19,0.03,127.0268198,38.08507414,인근좌표
96,95,경기성남,2019-04-19,2019-04-19,0.01,127.1037334,37.43511843,인근좌표
97,96,경기양평,2019-04-20,2019-04-20,0.06,127.5810959,37.51899594,인근좌표
98,97,경기평택,2019-04-20,2019-04-20,0.06,127.0037131,37.02303199,인근좌표
99,98,경기양평,2019-04-21,2019-04-21,0.3,127.5810959,37.51899594,인근좌표
100,99,경기시흥,2019-04-22,2019-04-22,0.02,126.8335661,37.39397721,인근좌표
101,100,경기남양주,2019-04-22,2019-04-22,0.02,127.2580035,37.64296989,인근좌표
102,101,경기광주,2019-04-23,2019-04-23,0.01,127.2917767,37.4004581,인근좌표
103,102,경기연천,2019-05-02,2019-05-02,0.01,127.0268198,38.08507414,인근좌표
104,103,경기고양,2019-05-03,2019-05-03,0.5,126.8993676,37.66019018,인근좌표
